tornado_id,window,read_status,positive_pixels,negative_pixels,sampled_positive,sampled_negative,error
TOR5,"Window(col_off=0, row_off=0, width=256, height=256)",OK,13915,51009,1200,1200,
TOR5,"Window(col_off=256, row_off=0, width=256, height=256)",OK,16075,49439,1200,1200,
TOR5,"Window(col_off=512, row_off=0, width=127, height=256)",OK,954,31242,954,1200,
TOR5,"Window(col_off=0, row_off=256, width=256, height=146)",OK,3240,33568,1200,1200,
TOR5,"Window(col_off=256, row_off=256, width=256, height=146)",OK,0,37375,0,1200,
TOR5,"Window(col_off=512, row_off=256, width=127, height=146)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=0, row_off=0, width=256, height=256)",OK,0,35104,0,1200,
TOR7,"Window(col_off=256, row_off=0, width=256, height=256)",OK,0,65510,0,1200,
TOR7,"Window(col_off=512, row_off=0, width=256, height=256)",OK,0,65535,0,1200,
TOR7,"Window(col_off=768, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1024, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1280, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1536, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1792, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2048, row_off=0, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=2304, row_off=0, width=179, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=0, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=256, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=512, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=768, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1024, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1280, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1536, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR7,"Window(col_off=1792, row_off=256, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
