tornado_id,raster,overlay_status,overlay_path,candidate_shapes,overlapping_shapes,preview_status,error
TOR5,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR5/before_extent_overlay.png,4,0,metadata_extent_only,
TOR5,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR5/after_extent_overlay.png,4,0,metadata_extent_only,
TOR7,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR7/before_extent_overlay.png,6,2,metadata_extent_only,
TOR7,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR7/after_extent_overlay.png,6,2,metadata_extent_only,
TOR10,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR10/before_extent_overlay.png,8,4,metadata_extent_only,
TOR10,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR10/after_extent_overlay.png,8,4,metadata_extent_only,
TOR11,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR11/before_extent_overlay.png,6,2,metadata_extent_only,
TOR11,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR11/after_extent_overlay.png,6,2,metadata_extent_only,
TOR12,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR12/before_extent_overlay.png,4,0,metadata_extent_only,
TOR12,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR12/after_extent_overlay.png,4,0,metadata_extent_only,
TOR13,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR13/before_extent_overlay.png,4,0,metadata_extent_only,
TOR13,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR13/after_extent_overlay.png,4,0,metadata_extent_only,
TOR15,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR15/before_extent_overlay.png,4,0,metadata_extent_only,
TOR15,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR15/after_extent_overlay.png,4,0,metadata_extent_only,
TOR16,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR16/before_extent_overlay.png,4,0,metadata_extent_only,
TOR16,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR16/after_extent_overlay.png,4,0,metadata_extent_only,
TOR18,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR18/before_extent_overlay.png,4,0,metadata_extent_only,
TOR18,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR18/after_extent_overlay.png,4,0,metadata_extent_only,
TOR24,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR24/before_extent_overlay.png,4,0,metadata_extent_only,
TOR24,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR24/after_extent_overlay.png,4,0,metadata_extent_only,
TOR61,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR61/before_extent_overlay.png,4,0,metadata_extent_only,
TOR61,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR61/after_extent_overlay.png,4,0,metadata_extent_only,
TOR62,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR62/before_extent_overlay.png,4,0,metadata_extent_only,
TOR62,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR62/after_extent_overlay.png,4,0,metadata_extent_only,
TOR66,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR66/before_extent_overlay.png,4,0,metadata_extent_only,
TOR66,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR66/after_extent_overlay.png,4,0,metadata_extent_only,
TOR68,before_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR68/before_extent_overlay.png,4,4,metadata_extent_only,
TOR68,after_extent,OK,/Users/m.mahin/Documents/New project 2/outputs/overlays/TOR68/after_extent_overlay.png,4,4,metadata_extent_only,
