tornado_id,band,analysis_status,error
TOR5,,SKIPPED,Read failed. See previous exception for details.
TOR7,,SKIPPED,Read failed. See previous exception for details.
TOR10,,SKIPPED,Read failed. See previous exception for details.
TOR11,,SKIPPED,Read failed. See previous exception for details.
TOR12,,SKIPPED,Read failed. See previous exception for details.
TOR13,,SKIPPED,Read failed. See previous exception for details.
TOR15,,SKIPPED,Read failed. See previous exception for details.
TOR16,,SKIPPED,Read failed. See previous exception for details.
TOR18,,SKIPPED,Read failed. See previous exception for details.
TOR24,,SKIPPED,Read failed. See previous exception for details.
TOR61,,SKIPPED,Read failed. See previous exception for details.
TOR62,,SKIPPED,Read failed. See previous exception for details.
TOR66,,SKIPPED,Read failed. See previous exception for details.
TOR68,,SKIPPED,Read failed. See previous exception for details.
